Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741069472,dafcb53abc84,reverse-proxy-lb-1,dafcb53abc84,0.08%,"102.1MiB / 15.48GiB",0.64%,"643MB / 713MB","0B / 0B",38
1741069472,e80c4e373e8a,reverse-proxy-agent-1,e80c4e373e8a,0.11%,"269.8MiB / 15.48GiB",1.70%,"424MB / 437MB","0B / 0B",36
1741069472,0a194b2eb9ce,reverse-proxy-controller-1,0a194b2eb9ce,0.75%,"984.4MiB / 15.48GiB",6.21%,"51.8MB / 101MB","0B / 0B",236
1741069472,b9d34cbb3bb1,reverse-proxy-api-1,b9d34cbb3bb1,0.12%,"76.52MiB / 15.48GiB",0.48%,"333MB / 206MB","0B / 0B",36
1741069485,dafcb53abc84,reverse-proxy-lb-1,dafcb53abc84,0.13%,"102.3MiB / 15.48GiB",0.65%,"643MB / 713MB","0B / 0B",38
1741069485,e80c4e373e8a,reverse-proxy-agent-1,e80c4e373e8a,0.08%,"269.8MiB / 15.48GiB",1.70%,"424MB / 437MB","0B / 0B",36
1741069485,0a194b2eb9ce,reverse-proxy-controller-1,0a194b2eb9ce,0.46%,"985.1MiB / 15.48GiB",6.22%,"51.8MB / 101MB","0B / 0B",236
1741069485,b9d34cbb3bb1,reverse-proxy-api-1,b9d34cbb3bb1,0.06%,"76.52MiB / 15.48GiB",0.48%,"333MB / 206MB","0B / 0B",36
1741069497,dafcb53abc84,reverse-proxy-lb-1,dafcb53abc84,0.07%,"102.1MiB / 15.48GiB",0.64%,"643MB / 713MB","0B / 0B",38
1741069497,e80c4e373e8a,reverse-proxy-agent-1,e80c4e373e8a,0.09%,"269.8MiB / 15.48GiB",1.70%,"424MB / 437MB","0B / 0B",36
1741069497,0a194b2eb9ce,reverse-proxy-controller-1,0a194b2eb9ce,0.48%,"985.5MiB / 15.48GiB",6.22%,"51.8MB / 101MB","0B / 0B",236
1741069497,b9d34cbb3bb1,reverse-proxy-api-1,b9d34cbb3bb1,0.07%,"76.52MiB / 15.48GiB",0.48%,"333MB / 206MB","0B / 0B",36
1741069510,dafcb53abc84,reverse-proxy-lb-1,dafcb53abc84,0.09%,"102.1MiB / 15.48GiB",0.64%,"643MB / 713MB","0B / 0B",38
1741069510,e80c4e373e8a,reverse-proxy-agent-1,e80c4e373e8a,0.11%,"270MiB / 15.48GiB",1.70%,"424MB / 437MB","0B / 0B",36
1741069510,0a194b2eb9ce,reverse-proxy-controller-1,0a194b2eb9ce,0.46%,"965.8MiB / 15.48GiB",6.09%,"51.8MB / 101MB","0B / 0B",236
1741069510,b9d34cbb3bb1,reverse-proxy-api-1,b9d34cbb3bb1,0.09%,"76.52MiB / 15.48GiB",0.48%,"333MB / 206MB","0B / 0B",36
1741069521,dafcb53abc84,reverse-proxy-lb-1,dafcb53abc84,0.11%,"102.1MiB / 15.48GiB",0.64%,"643MB / 713MB","0B / 0B",38
1741069521,e80c4e373e8a,reverse-proxy-agent-1,e80c4e373e8a,0.11%,"270MiB / 15.48GiB",1.70%,"424MB / 437MB","0B / 0B",36
1741069521,0a194b2eb9ce,reverse-proxy-controller-1,0a194b2eb9ce,0.97%,"966.2MiB / 15.48GiB",6.10%,"51.8MB / 101MB","0B / 0B",236
1741069521,b9d34cbb3bb1,reverse-proxy-api-1,b9d34cbb3bb1,0.13%,"76.52MiB / 15.48GiB",0.48%,"333MB / 206MB","0B / 0B",36
1741069533,dafcb53abc84,reverse-proxy-lb-1,dafcb53abc84,0.07%,"102.1MiB / 15.48GiB",0.64%,"643MB / 713MB","0B / 0B",38
1741069533,e80c4e373e8a,reverse-proxy-agent-1,e80c4e373e8a,0.09%,"270MiB / 15.48GiB",1.70%,"424MB / 437MB","0B / 0B",36
1741069533,0a194b2eb9ce,reverse-proxy-controller-1,0a194b2eb9ce,0.57%,"967MiB / 15.48GiB",6.10%,"51.8MB / 101MB","0B / 0B",236
1741069533,b9d34cbb3bb1,reverse-proxy-api-1,b9d34cbb3bb1,0.07%,"76.52MiB / 15.48GiB",0.48%,"333MB / 206MB","0B / 0B",36
1741070190,18b42367a318,reverse-proxy-agent-1,18b42367a318,0.00%,"1.094MiB / 15.48GiB",0.01%,"1.05kB / 158B","0B / 0B",2
1741070190,64cabb84b1ff,reverse-proxy-lb-1,64cabb84b1ff,0.10%,"93.14MiB / 15.48GiB",0.59%,"1.07kB / 0B","0B / 0B",33
1741070190,91a56d771716,reverse-proxy-controller-1,91a56d771716,769.51%,"676.2MiB / 15.48GiB",4.27%,"1.27kB / 138B","0B / 0B",54
1741070190,a4efc6013dd1,reverse-proxy-api-1,a4efc6013dd1,0.10%,"51.93MiB / 15.48GiB",0.33%,"1.15kB / 0B","0B / 0B",20
1741075714,ba2d4873559e,reverse-proxy-lb-1,ba2d4873559e,0.16%,"88.38MiB / 15.48GiB",0.56%,"1.83kB / 0B","0B / 0B",36
1741075714,d36ab6c51220,reverse-proxy-agent-1,d36ab6c51220,0.16%,"239.6MiB / 15.48GiB",1.51%,"82.8MB / 4.47MB","0B / 0B",32
1741075714,fe03e4240525,reverse-proxy-api-1,fe03e4240525,0.13%,"52.04MiB / 5GiB",1.02%,"1.94kB / 0B","0B / 0B",20
1741075714,13142a2d48cf,reverse-proxy-controller-1,13142a2d48cf,0.81%,"729.8MiB / 15.48GiB",4.60%,"5.87MB / 83.1MB","0B / 0B",225
1741075728,ba2d4873559e,reverse-proxy-lb-1,ba2d4873559e,0.09%,"88.38MiB / 15.48GiB",0.56%,"1.83kB / 0B","0B / 0B",36
1741075728,d36ab6c51220,reverse-proxy-agent-1,d36ab6c51220,0.10%,"239.6MiB / 15.48GiB",1.51%,"82.8MB / 4.48MB","0B / 0B",32
1741075728,fe03e4240525,reverse-proxy-api-1,fe03e4240525,0.07%,"52.04MiB / 5GiB",1.02%,"1.94kB / 0B","0B / 0B",20
1741075728,13142a2d48cf,reverse-proxy-controller-1,13142a2d48cf,0.51%,"730.2MiB / 15.48GiB",4.61%,"5.88MB / 83.1MB","0B / 0B",225
1741077053,f574643915e1,reverse-proxy-lb-1,f574643915e1,0.08%,"92.15MiB / 15.48GiB",0.58%,"1.6kB / 0B","0B / 0B",38
1741077053,77e7dec605d4,reverse-proxy-agent-1,77e7dec605d4,0.09%,"213.7MiB / 15.48GiB",1.35%,"82.5MB / 1.54MB","0B / 0B",32
1741077053,d0582819c732,reverse-proxy-api-1,d0582819c732,0.08%,"50.53MiB / 15.48GiB",0.32%,"1.71kB / 0B","0B / 0B",20
1741077053,3ce97dba25c8,reverse-proxy-controller-1,3ce97dba25c8,0.54%,"677.6MiB / 15.48GiB",4.28%,"1.54MB / 82.5MB","0B / 0B",225
1741077067,f574643915e1,reverse-proxy-lb-1,f574643915e1,0.12%,"92.15MiB / 15.48GiB",0.58%,"1.6kB / 0B","0B / 0B",38
1741077067,77e7dec605d4,reverse-proxy-agent-1,77e7dec605d4,0.10%,"213.7MiB / 15.48GiB",1.35%,"82.5MB / 1.55MB","0B / 0B",32
1741077067,d0582819c732,reverse-proxy-api-1,d0582819c732,0.10%,"50.53MiB / 15.48GiB",0.32%,"1.71kB / 0B","0B / 0B",20
1741077067,3ce97dba25c8,reverse-proxy-controller-1,3ce97dba25c8,0.93%,"678.4MiB / 15.48GiB",4.28%,"1.55MB / 82.5MB","0B / 0B",225
1741077079,f574643915e1,reverse-proxy-lb-1,f574643915e1,0.08%,"92.14MiB / 15.48GiB",0.58%,"1.6kB / 0B","0B / 0B",38
1741077079,77e7dec605d4,reverse-proxy-agent-1,77e7dec605d4,0.08%,"213.7MiB / 15.48GiB",1.35%,"82.5MB / 1.56MB","0B / 0B",32
1741077079,d0582819c732,reverse-proxy-api-1,d0582819c732,0.09%,"50.53MiB / 15.48GiB",0.32%,"1.71kB / 0B","0B / 0B",20
1741077079,3ce97dba25c8,reverse-proxy-controller-1,3ce97dba25c8,0.56%,"679.4MiB / 15.48GiB",4.29%,"1.56MB / 82.5MB","0B / 0B",225
1741077090,f574643915e1,reverse-proxy-lb-1,f574643915e1,0.08%,"92.15MiB / 15.48GiB",0.58%,"1.6kB / 0B","0B / 0B",38
1741077090,77e7dec605d4,reverse-proxy-agent-1,77e7dec605d4,0.07%,"213.7MiB / 15.48GiB",1.35%,"82.5MB / 1.57MB","0B / 0B",32
1741077090,d0582819c732,reverse-proxy-api-1,d0582819c732,0.13%,"50.53MiB / 15.48GiB",0.32%,"1.71kB / 0B","0B / 0B",20
1741077090,3ce97dba25c8,reverse-proxy-controller-1,3ce97dba25c8,0.56%,"680MiB / 15.48GiB",4.29%,"1.57MB / 82.5MB","0B / 0B",225
1741077102,f574643915e1,reverse-proxy-lb-1,f574643915e1,0.11%,"92.15MiB / 15.48GiB",0.58%,"1.6kB / 0B","0B / 0B",38
1741077102,77e7dec605d4,reverse-proxy-agent-1,77e7dec605d4,0.09%,"213.7MiB / 15.48GiB",1.35%,"82.5MB / 1.58MB","0B / 0B",32
1741077102,d0582819c732,reverse-proxy-api-1,d0582819c732,0.08%,"50.53MiB / 15.48GiB",0.32%,"1.71kB / 0B","0B / 0B",20
1741077102,3ce97dba25c8,reverse-proxy-controller-1,3ce97dba25c8,0.52%,"680.6MiB / 15.48GiB",4.29%,"1.58MB / 82.5MB","0B / 0B",223
1741077114,f574643915e1,reverse-proxy-lb-1,f574643915e1,0.11%,"92.15MiB / 15.48GiB",0.58%,"1.6kB / 0B","0B / 0B",38
1741077114,77e7dec605d4,reverse-proxy-agent-1,77e7dec605d4,0.09%,"213.7MiB / 15.48GiB",1.35%,"82.5MB / 1.59MB","0B / 0B",32
1741077114,d0582819c732,reverse-proxy-api-1,d0582819c732,0.10%,"50.53MiB / 15.48GiB",0.32%,"1.71kB / 0B","0B / 0B",20
1741077114,3ce97dba25c8,reverse-proxy-controller-1,3ce97dba25c8,0.64%,"681.5MiB / 15.48GiB",4.30%,"1.59MB / 82.5MB","0B / 0B",223
1741077125,f574643915e1,reverse-proxy-lb-1,f574643915e1,0.09%,"92.15MiB / 15.48GiB",0.58%,"1.6kB / 0B","0B / 0B",38
1741077125,77e7dec605d4,reverse-proxy-agent-1,77e7dec605d4,0.09%,"213.7MiB / 15.48GiB",1.35%,"82.5MB / 1.6MB","0B / 0B",32
1741077125,d0582819c732,reverse-proxy-api-1,d0582819c732,0.08%,"50.53MiB / 15.48GiB",0.32%,"1.71kB / 0B","0B / 0B",20
1741077125,3ce97dba25c8,reverse-proxy-controller-1,3ce97dba25c8,0.61%,"682.5MiB / 15.48GiB",4.31%,"1.6MB / 82.5MB","0B / 0B",223
1741077137,f574643915e1,reverse-proxy-lb-1,f574643915e1,0.09%,"92.15MiB / 15.48GiB",0.58%,"1.6kB / 0B","0B / 0B",38
1741077137,77e7dec605d4,reverse-proxy-agent-1,77e7dec605d4,0.09%,"213.7MiB / 15.48GiB",1.35%,"82.5MB / 1.61MB","0B / 0B",32
1741077137,d0582819c732,reverse-proxy-api-1,d0582819c732,0.08%,"50.53MiB / 15.48GiB",0.32%,"1.71kB / 0B","0B / 0B",20
1741077137,3ce97dba25c8,reverse-proxy-controller-1,3ce97dba25c8,0.68%,"683.4MiB / 15.48GiB",4.31%,"1.61MB / 82.5MB","0B / 0B",223
1741077149,f574643915e1,reverse-proxy-lb-1,f574643915e1,0.08%,"92.15MiB / 15.48GiB",0.58%,"1.6kB / 0B","0B / 0B",38
1741077149,77e7dec605d4,reverse-proxy-agent-1,77e7dec605d4,0.36%,"213.7MiB / 15.48GiB",1.35%,"82.5MB / 1.62MB","0B / 0B",32
1741077149,d0582819c732,reverse-proxy-api-1,d0582819c732,0.09%,"50.53MiB / 15.48GiB",0.32%,"1.71kB / 0B","0B / 0B",20
1741077149,3ce97dba25c8,reverse-proxy-controller-1,3ce97dba25c8,0.82%,"684.2MiB / 15.48GiB",4.32%,"1.62MB / 82.5MB","0B / 0B",223
1741077160,f574643915e1,reverse-proxy-lb-1,f574643915e1,0.17%,"92.16MiB / 15.48GiB",0.58%,"1.6kB / 0B","0B / 0B",38
1741077160,77e7dec605d4,reverse-proxy-agent-1,77e7dec605d4,0.07%,"213.7MiB / 15.48GiB",1.35%,"82.5MB / 1.63MB","0B / 0B",32
1741077160,d0582819c732,reverse-proxy-api-1,d0582819c732,0.08%,"50.53MiB / 15.48GiB",0.32%,"1.71kB / 0B","0B / 0B",20
1741077160,3ce97dba25c8,reverse-proxy-controller-1,3ce97dba25c8,0.59%,"684.9MiB / 15.48GiB",4.32%,"1.63MB / 82.5MB","0B / 0B",225
1741077172,f574643915e1,reverse-proxy-lb-1,f574643915e1,0.08%,"92.15MiB / 15.48GiB",0.58%,"1.6kB / 0B","0B / 0B",38
1741077172,77e7dec605d4,reverse-proxy-agent-1,77e7dec605d4,0.09%,"212.7MiB / 15.48GiB",1.34%,"82.5MB / 1.64MB","0B / 0B",32
1741077172,d0582819c732,reverse-proxy-api-1,d0582819c732,0.08%,"50.53MiB / 15.48GiB",0.32%,"1.71kB / 0B","0B / 0B",20
1741077172,3ce97dba25c8,reverse-proxy-controller-1,3ce97dba25c8,0.55%,"685.5MiB / 15.48GiB",4.33%,"1.64MB / 82.5MB","0B / 0B",225
1741077308,f574643915e1,reverse-proxy-lb-1,f574643915e1,0.08%,"92.17MiB / 15.48GiB",0.58%,"1.6kB / 0B","0B / 0B",38
1741077308,77e7dec605d4,reverse-proxy-agent-1,77e7dec605d4,0.08%,"212.7MiB / 15.48GiB",1.34%,"82.5MB / 1.75MB","0B / 0B",32
1741077308,d0582819c732,reverse-proxy-api-1,d0582819c732,0.06%,"50.53MiB / 15.48GiB",0.32%,"1.71kB / 0B","0B / 0B",20
1741077308,3ce97dba25c8,reverse-proxy-controller-1,3ce97dba25c8,0.52%,"694.9MiB / 15.48GiB",4.38%,"1.75MB / 82.5MB","0B / 0B",224
1741077321,f574643915e1,reverse-proxy-lb-1,f574643915e1,0.07%,"92.18MiB / 15.48GiB",0.58%,"1.6kB / 0B","0B / 0B",38
1741077321,77e7dec605d4,reverse-proxy-agent-1,77e7dec605d4,0.07%,"212.7MiB / 15.48GiB",1.34%,"82.5MB / 1.76MB","0B / 0B",32
1741077321,d0582819c732,reverse-proxy-api-1,d0582819c732,0.07%,"50.53MiB / 15.48GiB",0.32%,"1.71kB / 0B","0B / 0B",20
1741077321,3ce97dba25c8,reverse-proxy-controller-1,3ce97dba25c8,0.58%,"695.4MiB / 15.48GiB",4.39%,"1.76MB / 82.5MB","0B / 0B",224
